"id","question","segmentId","segmentName","primaryFunnelLayer","layerName","intent","clusterId","targetPath","answerFormat","schemaCandidate","source","observedAt","confidence"
"Q-090","Who should I contact first when the financing problem is urgent?","bridge","Bridge financing","L5","transaction-urgency-rescue","urgent question","bridge-service","/borrowers/bridge-financing","triage checklist","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-091","What is a HELOC or home-equity loan, and how does it work in Ontario?","heloc-equity","HELOC / home equity","L1","awareness-education","educational question","heloc-guide","/resources/heloc-ontario-guide","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-092","Who is a HELOC or home-equity loan designed for?","heloc-equity","HELOC / home equity","L1","awareness-education","educational question","heloc-guide","/resources/heloc-ontario-guide","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-093","What are the main risks and benefits of a HELOC or home-equity loan?","heloc-equity","HELOC / home equity","L1","awareness-education","educational question","heloc-guide","/resources/heloc-ontario-guide","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-094","Can I qualify for a HELOC or home-equity loan with my income, credit, and equity?","heloc-equity","HELOC / home equity","L2","problem-project-feasibility","educational question","heloc-guide","/resources/heloc-ontario-guide","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-095","How much could I borrow through a HELOC or home-equity loan?","heloc-equity","HELOC / home equity","L2","problem-project-feasibility","educational question","heloc-guide","/resources/heloc-ontario-guide","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-096","What property, appraisal, or project conditions affect a HELOC or home-equity loan?","heloc-equity","HELOC / home equity","L2","problem-project-feasibility","educational question","heloc-guide","/resources/heloc-ontario-guide","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-097","How does a HELOC or home-equity loan compare with the next-best financing option?","heloc-equity","HELOC / home equity","L3","evaluation-planning-comparison","educational question","equity-comparison","/resources/heloc-vs-refinance-vs-renovation","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-098","What is the total cost of a HELOC or home-equity loan, including fees and penalties?","heloc-equity","HELOC / home equity","L3","evaluation-planning-comparison","educational question","equity-comparison","/resources/heloc-vs-refinance-vs-renovation","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-099","Which lender or structure is the better fit for my scenario?","heloc-equity","HELOC / home equity","L3","evaluation-planning-comparison","educational question","equity-comparison","/resources/heloc-vs-refinance-vs-renovation","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-100","What documents do I need to apply for a HELOC or home-equity loan?","heloc-equity","HELOC / home equity","L4","qualification-commercial-investigation","educational question","heloc-service","/borrowers/heloc","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-101","How long does approval and funding take for a HELOC or home-equity loan?","heloc-equity","HELOC / home equity","L4","qualification-commercial-investigation","educational question","heloc-service","/borrowers/heloc","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-102","What rates, fees, term, and exit plan should I expect?","heloc-equity","HELOC / home equity","L4","qualification-commercial-investigation","educational question","heloc-service","/borrowers/heloc","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-103","What should I do if I need a HELOC or home-equity loan before a closing or enforcement deadline?","heloc-equity","HELOC / home equity","L5","transaction-urgency-rescue","urgent question","heloc-service","/borrowers/heloc","triage checklist","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-104","Can a HELOC or home-equity loan work after a bank decline or arrears?","heloc-equity","HELOC / home equity","L5","transaction-urgency-rescue","urgent question","heloc-service","/borrowers/heloc","triage checklist","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-105","Who should I contact first when the financing problem is urgent?","heloc-equity","HELOC / home equity","L5","transaction-urgency-rescue","urgent question","heloc-service","/borrowers/heloc","triage checklist","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-106","What is mortgage-decline or rescue financing, and how does it work in Ontario?","rescue","Bank-declined / rescue borrowers","L1","awareness-education","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-107","Who is mortgage-decline or rescue financing designed for?","rescue","Bank-declined / rescue borrowers","L1","awareness-education","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-108","What are the main risks and benefits of mortgage-decline or rescue financing?","rescue","Bank-declined / rescue borrowers","L1","awareness-education","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-109","Can I qualify for mortgage-decline or rescue financing with my income, credit, and equity?","rescue","Bank-declined / rescue borrowers","L2","problem-project-feasibility","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-110","How much could I borrow through mortgage-decline or rescue financing?","rescue","Bank-declined / rescue borrowers","L2","problem-project-feasibility","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-111","What property, appraisal, or project conditions affect mortgage-decline or rescue financing?","rescue","Bank-declined / rescue borrowers","L2","problem-project-feasibility","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-112","How does mortgage-decline or rescue financing compare with the next-best financing option?","rescue","Bank-declined / rescue borrowers","L3","evaluation-planning-comparison","educational question","rescue-guide","/resources/mortgage-declined-ontario","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-113","What is the total cost of mortgage-decline or rescue financing, including fees and penalties?","rescue","Bank-declined / rescue borrowers","L3","evaluation-planning-comparison","educational question","rescue-guide","/resources/mortgage-declined-ontario","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-114","Which lender or structure is the better fit for my scenario?","rescue","Bank-declined / rescue borrowers","L3","evaluation-planning-comparison","educational question","rescue-guide","/resources/mortgage-declined-ontario","comparison table","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-115","What documents do I need to apply for mortgage-decline or rescue financing?","rescue","Bank-declined / rescue borrowers","L4","qualification-commercial-investigation","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-116","How long does approval and funding take for mortgage-decline or rescue financing?","rescue","Bank-declined / rescue borrowers","L4","qualification-commercial-investigation","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-117","What rates, fees, term, and exit plan should I expect?","rescue","Bank-declined / rescue borrowers","L4","qualification-commercial-investigation","educational question","rescue-guide","/resources/mortgage-declined-ontario","concise answer + evidence + next step","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-118","What should I do if I need mortgage-decline or rescue financing before a closing or enforcement deadline?","rescue","Bank-declined / rescue borrowers","L5","transaction-urgency-rescue","urgent question","private-service","/borrowers/private-mortgage-financing","triage checklist","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-119","Can mortgage-decline or rescue financing work after a bank decline or arrears?","rescue","Bank-declined / rescue borrowers","L5","transaction-urgency-rescue","urgent question","private-service","/borrowers/private-mortgage-financing","triage checklist","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
"Q-120","Who should I contact first when the financing problem is urgent?","rescue","Bank-declined / rescue borrowers","L5","transaction-urgency-rescue","urgent question","private-service","/borrowers/private-mortgage-financing","triage checklist","FAQPage only when visibly answered and policy-compliant","Answer Socrates / PAA-style semantic expansion; current SERP themes","2026-07-20","semantic hypothesis"
