evidenceId,opportunityId,proposedUrl,workstream,requirement,status,owner,sourceObservationRefs,verificationGate,refreshCadence
evidence-construction-draw-guide-mblaa-rate-advertising,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-construction-draw-guide-mblaa-misleading-guarantee-control,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-construction-draw-guide-approval,opportunity-construction-draw-guide,/construction-draw-financing/how-construction-draws-work-ontario,drawflow-builder-financing,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-stalled-project-rescue-external-source-pack,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-ontario-construction-act | source-qualitative-construction-funding-ontario,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-stalled-project-rescue-original-1,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,Approved rescue-underwriting policy,missing,FairLend Principal Broker,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-stalled-project-rescue-original-2,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,Cost-to-complete and lien checklist,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-stalled-project-rescue-original-3,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,Qualified completion cases,missing,FairLend operations and compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-stalled-project-rescue-original-4,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,Legal and compliance approval,missing,FairLend legal and compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-stalled-project-rescue-mblaa-brokerage-identity,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-stalled-project-rescue-mblaa-individual-identity,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-stalled-project-rescue-mblaa-rate-advertising,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-stalled-project-rescue-mblaa-misleading-guarantee-control,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-stalled-project-rescue-approval,opportunity-stalled-project-rescue,/construction-draw-financing,drawflow-builder-financing,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-partner-referrals-external-source-pack,opportunity-partner-referrals,/partners,b2b-partner-referral,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-fsra-referrals | source-official-reco-financial-benefits | source-public-serp-partners,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-partner-referrals-original-1,opportunity-partner-referrals,/partners,b2b-partner-referral,Approved referral policy,missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-partner-referrals-original-2,opportunity-partner-referrals,/partners,b2b-partner-referral,Borrower-versus-partner routing matrix,missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-partner-referrals-original-3,opportunity-partner-referrals,/partners,b2b-partner-referral,Consent and status-update workflow,missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-partner-referrals-original-4,opportunity-partner-referrals,/partners,b2b-partner-referral,"Partner-role, compensation, and disclosure approval",missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-partner-referrals-mblaa-brokerage-identity,opportunity-partner-referrals,/partners,b2b-partner-referral,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-partner-referrals-mblaa-individual-identity,opportunity-partner-referrals,/partners,b2b-partner-referral,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-partner-referrals-mblaa-rate-advertising,opportunity-partner-referrals,/partners,b2b-partner-referral,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-partner-referrals-mblaa-misleading-guarantee-control,opportunity-partner-referrals,/partners,b2b-partner-referral,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-partner-referrals-approval,opportunity-partner-referrals,/partners,b2b-partner-referral,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
evidence-partner-readiness-resource-external-source-pack,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,Recorded external and local source observations supporting the page decision,available-general,FairLend SEO operator,source-official-fsra-referrals | source-official-toronto-multiplex-guide,"Source URL, timestamp, jurisdiction, anchor, and freshness recorded",30 days for financial programs; 90 days for planning rules
evidence-partner-readiness-resource-original-1,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,Role-specific intake checklist,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-partner-readiness-resource-original-2,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,Project eligibility matrix,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-partner-readiness-resource-original-3,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,Consent and document-sharing policy,missing,FairLend compliance,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-partner-readiness-resource-original-4,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,Status-update service standard,missing,FairLend operations,,"Artifact supplied, provenance recorded, limitations stated, and intended public use approved",before drafting and before publication
evidence-partner-readiness-resource-mblaa-brokerage-identity,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,FSRA-verified authorized brokerage name and brokerage licence number for clear and prominent display on every public page,missing,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker validates the public registry record and page-level display before drafting and publication,before drafting and before publication
evidence-partner-readiness-resource-mblaa-individual-identity,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,"FSRA-verified licensed names, prescribed licence-class titles, and brokerage attribution for every broker or agent who appears",pending-if-individual-named,FairLend Principal Broker and compliance,source-official-ontario-individual-public-relations,"Principal Broker validates each identity, title, and attribution or the page names no individual",before drafting and before publication
evidence-partner-readiness-resource-mblaa-rate-advertising,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,"APR, term, equal-prominence, and representative-example control for any fixed-amount mortgage rate, payment, or non-interest-charge representation",pending-if-trigger-used,FairLend Principal Broker and compliance,source-official-ontario-cost-of-borrowing-advertising,Principal Broker and compliance approve the calculation and rendered prominence or the page contains no triggering representation,before drafting and before publication
evidence-partner-readiness-resource-mblaa-misleading-guarantee-control,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,"Public-output control excluding guarantees, guaranteed approval or outcomes, false or misleading statements, and regulatory-endorsement framing",pending,FairLend Principal Broker and compliance,source-official-ontario-brokerage-public-relations,Principal Broker and compliance complete a rendered-page review before publication,before drafting and before publication
evidence-partner-readiness-resource-approval,opportunity-partner-readiness-resource,/partners,b2b-partner-referral,"Page-level financial, legal, privacy, planning, tax, and marketing review",pending,FairLend compliance,,All linked claim records and original-evidence requirements cleared for intended usage,before drafting and before publication
